phase3a_event_id,pair_id,observational_reference_role,baseline_variant_id,baseline_materialization_status,baseline_inadmissibility_reason,baseline_decision_available,baseline_qpp_selected,expected_reference_selection_state,baseline_gate_state
F3AE000087,F3AP0044,PUBLISHED_QPP_REFERENCE,F3AV006709,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000088,F3AP0044,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006787,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000089,F3AP0045,PUBLISHED_QPP_REFERENCE,F3AV006865,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006943,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007021,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000092,F3AP0046,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007099,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000093,F3AP0047,PUBLISHED_QPP_REFERENCE,F3AV007177,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000094,F3AP0047,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007255,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000095,F3AP0048,PUBLISHED_QPP_REFERENCE,F3AV007333,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000096,F3AP0048,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007411,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000097,F3AP0049,PUBLISHED_QPP_REFERENCE,F3AV007489,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000098,F3AP0049,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007567,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000099,F3AP0050,PUBLISHED_QPP_REFERENCE,F3AV007645,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000100,F3AP0050,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007723,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000101,F3AP0051,PUBLISHED_QPP_REFERENCE,F3AV007801,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000102,F3AP0051,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007879,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000103,F3AP0052,PUBLISHED_QPP_REFERENCE,F3AV007957,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000104,F3AP0052,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008035,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000105,F3AP0053,PUBLISHED_QPP_REFERENCE,F3AV008113,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000106,F3AP0053,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008191,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000107,F3AP0054,PUBLISHED_QPP_REFERENCE,F3AV008269,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000108,F3AP0054,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008347,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000109,F3AP0055,PUBLISHED_QPP_REFERENCE,F3AV008425,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000110,F3AP0055,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008503,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,false,INPUT_INADMISSIBLE
F3AE000111,F3AP0056,PUBLISHED_QPP_REFERENCE,F3AV008581,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000112,F3AP0056,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008659,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000113,F3AP0057,PUBLISHED_QPP_REFERENCE,F3AV008737,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000114,F3AP0057,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008815,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000115,F3AP0058,PUBLISHED_QPP_REFERENCE,F3AV008893,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000116,F3AP0058,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV008971,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000117,F3AP0059,PUBLISHED_QPP_REFERENCE,F3AV009049,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000118,F3AP0059,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV009127,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000119,F3AP0060,PUBLISHED_QPP_REFERENCE,F3AV009205,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000120,F3AP0060,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV009283,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000121,F3AP0061,PUBLISHED_QPP_REFERENCE,F3AV009361,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000122,F3AP0061,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV009439,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
