planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status
F3ADP000104,62,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000104,F3AC026,WSp2,P01,0,F3APAY000062,c5990d8d639cb07fd633fc6c422a630b33e6286e4431e71297550a06e2283fe0,26,READY_FOR_AFINO
F3ADP000107,63,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000107,F3AC029,WSp2,P04,0,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,26,READY_FOR_AFINO
F3ADP000108,64,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000108,F3AC030,WSp2,P05,0,F3APAY000064,6b5cf4430a9eb7a71983818608e468128eac6a8d69835528c16d7a900bf313b2,26,READY_FOR_AFINO
F3ADP000109,65,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000109,F3AC031,WEm2,P00,0,F3APAY000065,f88dc6b8401190bf6faa302dc6c347bdd152308dc641b14a2640de0f76fbdd1c,26,READY_FOR_AFINO
F3ADP000110,66,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000110,F3AC032,WEm2,P01,0,F3APAY000066,8685fce6c092d7b60d3c792697743f8885ac59f5291553c39d4315c009d980b3,26,READY_FOR_AFINO
F3ADP000113,67,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000113,F3AC035,WEm2,P04,0,F3APAY000067,f9302430efc9f731dc15e83376bececefd3e5edd45b49727b7f4d0d660a03fda,26,READY_FOR_AFINO
F3ADP000114,68,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000114,F3AC036,WEm2,P05,0,F3APAY000068,82525c49f7753bd033827c41e004a6f6a5ddc1e7d5b38a73c42ee248b4cd5c42,26,READY_FOR_AFINO
F3ADP000115,69,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000115,F3AC037,WEm1,P00,0,F3APAY000069,32d8cbdad867f72c6c2a6753c8d91e894487e2523111bfece45e249480f8c4d9,27,READY_FOR_AFINO
F3ADP000116,70,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000116,F3AC038,WEm1,P01,0,F3APAY000070,c68e62fe8a3a5af505a08d6a38577b96bb8e65ec96c7e74c025e004691fe1366,27,READY_FOR_AFINO
F3ADP000119,71,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000119,F3AC041,WEm1,P04,0,F3APAY000071,3425230f8a0025c4a03fe3cdb2b34e25839a6083dd76db8a134d969c1e4b9785,27,READY_FOR_AFINO
F3ADP000120,72,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000120,F3AC042,WEm1,P05,0,F3APAY000072,9cd0b4f25bcf595f0c0ea713752f1eea16f07399a08ac00032b678f72fa62d79,27,READY_FOR_AFINO
F3ADP000121,73,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000121,F3AC043,WEp1,P00,0,F3APAY000073,c096c43b5000c33e048ac7307be31072ae590c8e9f6f21fc9444f79e1efce110,29,READY_FOR_AFINO
F3ADP000122,74,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000122,F3AC044,WEp1,P01,0,F3APAY000074,e8427048300b0109343176c403c190f8176683e6083e86a2df6f9bcb4a30bba6,29,READY_FOR_AFINO
F3ADP000125,75,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000125,F3AC047,WEp1,P04,0,F3APAY000075,05004c45892d53e2bd7e0467b6b6f16345fcf61bd2492810d5071ead2cd05b8e,29,READY_FOR_AFINO
F3ADP000126,76,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000126,F3AC048,WEp1,P05,0,F3APAY000076,8ca885cf688167b22382337e042720bea8c404f421889db3ed3113f6a67dcebe,29,READY_FOR_AFINO
F3ADP000127,77,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000127,F3AC049,WEp2,P00,0,F3APAY000077,cb380be1ea0f884603ae46c6c301dd13f017a1faa90bf041e1f1f091ece5c17f,30,READY_FOR_AFINO
F3ADP000128,78,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000128,F3AC050,WEp2,P01,0,F3APAY000078,741ab62fb7faadfb07175032ea2ecbf590b76e1adb99181263fb4625fa7374eb,30,READY_FOR_AFINO
F3ADP000131,79,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000131,F3AC053,WEp2,P04,0,F3APAY000079,cf6cf33838edba661e4b0871ecc7b3d098c2b3656ef84bbe50fa3f0d0f84925f,30,READY_FOR_AFINO
F3ADP000132,80,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000132,F3AC054,WEp2,P05,0,F3APAY000080,f3507f43155f5888c39a3f4bb14732d60b63ae999a7ef963d17f6e694106530a,30,READY_FOR_AFINO
F3ADP000133,81,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000133,F3AC055,WX1,P00,0,F3APAY000081,d1673df1a26a69df890c0c04864f8fbd94f3d5522346cf52062c6a91da29a588,30,READY_FOR_AFINO
F3ADP000134,82,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000134,F3AC056,WX1,P01,0,F3APAY000082,5e65e0095886505cde255b53fa95d1a2f3c3e2a6a27d8fed8f19e07aafb24948,30,READY_FOR_AFINO
F3ADP000137,83,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000137,F3AC059,WX1,P04,0,F3APAY000083,b0bf271ede3ef2e028126b4ca3aa9b4ed13ee6b0891bd0dd797f0aa1090f9fa1,30,READY_FOR_AFINO
F3ADP000138,84,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000138,F3AC060,WX1,P05,0,F3APAY000084,4f648b428e3d86d3df0840ea6a272036c9404ec4722d68097a19248cb2d2fa59,30,READY_FOR_AFINO
F3ADP000139,85,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000139,F3AC061,WC1,P00,0,F3APAY000085,146c55207f1d88901088cf04a2f6f19bc312e60dcf7ac47bf014a649ad70f497,26,READY_FOR_AFINO
F3ADP000140,86,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000140,F3AC062,WC1,P01,0,F3APAY000086,419d72287f10c85ed334f88aa1f3d1d255e0e2ec70640e821c2fe2d639f3717f,26,READY_FOR_AFINO
F3ADP000143,87,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000143,F3AC065,WC1,P04,0,F3APAY000087,91e577597d5d9850daa4edc5319417e2bd541761ba173aa7b2cc4ec52058fc5a,26,READY_FOR_AFINO
F3ADP000144,88,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000144,F3AC066,WC1,P05,0,F3APAY000088,6c3be4e51bacfd7a08e8fec77fb3640d09d87044bd76d3a4095dba575140e54f,26,READY_FOR_AFINO
F3ADP000145,89,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000145,F3AC067,WX2,P00,0,F3APAY000089,d2e1d4ffcba0869233df3f0f75b766119a16d1b30faf2ba28ce320aa8d78e9fe,32,READY_FOR_AFINO
F3ADP000146,90,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000146,F3AC068,WX2,P01,0,F3APAY000090,0b00d0b454dfd48d337420832fdbf261cc3ba5a2c012ddabcc83a0705cb9e7dd,32,READY_FOR_AFINO
F3ADP000149,91,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000149,F3AC071,WX2,P04,0,F3APAY000091,697826f041d7b2b05022f8cc5a610b9e7a03f85f9d3da8ffee8ccb5930596147,32,READY_FOR_AFINO
F3ADP000150,92,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000150,F3AC072,WX2,P05,0,F3APAY000092,53ffa80a9615b166f278a07a9645dce531549475e345622e59ff6ffb35267956,32,READY_FOR_AFINO
F3ADP000151,93,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000151,F3AC073,WC2,P00,0,F3APAY000093,0298dd92c50478c5193ef4b527ced5639803e5f1909338b8c46215bcafe35121,24,READY_FOR_AFINO
F3ADP000152,94,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000152,F3AC074,WC2,P01,0,F3APAY000094,9511a41bc9a10a5ceb52d38c6d4a89e42276a09fb6946713fae35d4a51a87d20,24,READY_FOR_AFINO
F3ADP000155,95,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000155,F3AC077,WC2,P04,0,F3APAY000095,c3edd0e71244ce5d207a3412f93ae21c8bdfe934e4cf9342e7f1b5349c02a29a,24,READY_FOR_AFINO
