phase3a_event_id,variant_id,window_variant_id,processing_profile_id,baseline_period_s,variant_period_s,signed_period_change_s,absolute_period_change_s,period_ratio_variant_to_baseline
F3AE000021,F3AV001584,WSp1,P05,73.20974568095586,73.22409732109973,0.014351640143871691,0.014351640143871691,1.0001960345581093
F3AE000021,F3AV001585,WSp2,P00,73.20974568095586,73.2163156348608,0.006569953904943304,0.006569953904943304,1.0000897415206655
F3AE000021,F3AV001586,WSp2,P01,73.20974568095586,73.23427951157461,0.024533830618750585,0.024533830618750585,1.0003351170037615
F3AE000021,F3AV001589,WSp2,P04,73.20974568095586,73.17836436388876,-0.03138131706710112,0.03138131706710112,0.9995713505520992
F3AE000021,F3AV001590,WSp2,P05,73.20974568095586,73.21417539430817,0.004429713352308795,0.004429713352308795,1.0000605071539466
F3AE000021,F3AV001592,WEm2,P01,73.20974568095586,73.20675031900804,-0.002995361947824904,0.002995361947824904,0.999959085202114
F3AE000021,F3AV001596,WEm2,P05,73.20974568095586,73.18014877870188,-0.029596902253985036,0.029596902253985036,0.9995957245585448
F3AE000021,F3AV001597,WEm1,P00,73.20974568095586,73.19148275014655,-0.01826293080931407,0.01826293080931407,0.9997505396222942
F3AE000021,F3AV001598,WEm1,P01,73.20974568095586,73.23810881084208,0.028363129886216143,0.028363129886216143,1.0003874228714005
F3AE000021,F3AV001602,WEm1,P05,73.20974568095586,73.21045915646673,0.0007134755108637592,0.0007134755108637592,1.000009745635697
F3AE000021,F3AV001603,WEp1,P00,73.20974568095586,73.23345155779802,0.023705876842157636,0.023705876842157636,1.0003238076655185
F3AE000021,F3AV001604,WEp1,P01,73.20974568095586,73.25855130038235,0.04880561942648853,0.04880561942648853,1.0006666546779055
F3AE000021,F3AV001607,WEp1,P04,73.20974568095586,73.18075389601285,-0.028991784943016796,0.028991784943016796,0.9996039900880224
F3AE000021,F3AV001608,WEp1,P05,73.20974568095586,73.23120799534108,0.02146231438521795,0.02146231438521795,1.0002931619852737
F3AE000021,F3AV001609,WEp2,P00,73.20974568095586,73.28134291680198,0.071597235846113,0.071597235846113,1.0009779741095963
F3AE000021,F3AV001610,WEp2,P01,73.20974568095586,73.29298279932483,0.08323711836897019,0.08323711836897019,1.0011369677301123
F3AE000021,F3AV001613,WEp2,P04,73.20974568095586,73.23079870178378,0.021053020827920932,0.021053020827920932,1.000287571287567
F3AE000021,F3AV001614,WEp2,P05,73.20974568095586,73.26567310145182,0.05592742049596211,0.05592742049596211,1.0007639340906835
F3AE000021,F3AV001615,WX1,P00,73.20974568095586,73.25583667625592,0.04609099530006233,0.04609099530006233,1.0006295745856149
F3AE000021,F3AV001616,WX1,P01,73.20974568095586,73.28463057197958,0.07488489102371432,0.07488489102371432,1.0010228814528337
F3AE000021,F3AV001620,WX1,P05,73.20974568095586,73.25580959951571,0.04606391855985237,0.04606391855985237,1.0006292047340335
F3AE000021,F3AV001621,WC1,P00,73.20974568095586,73.1807656956009,-0.028979985354965265,0.028979985354965265,0.999604151263122
F3AE000021,F3AV001622,WC1,P01,73.20974568095586,73.2172283441347,0.007482663178834059,0.007482663178834059,1.0001022085667588
F3AE000021,F3AV001626,WC1,P05,73.20974568095586,73.19355893759564,-0.016186743360222522,0.016186743360222522,0.9997788990631007
F3AE000021,F3AV001627,WX2,P00,73.20974568095586,73.29455583732178,0.08481015636591849,0.08481015636591849,1.0011584544595404
F3AE000021,F3AV001628,WX2,P01,73.20974568095586,73.31834809603754,0.1086024150816769,0.1086024150816769,1.001483442048207
