phase3a_event_id,pair_id,source_work_id,source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,observational_reference_role,matching_level,matched_partner_event_id,membership_status,membership_reason
F3AE000043,F3AP0022,BAIIW0001,2713,SRC_81040ec9a19cb8f74a284aa41a2aa3294b86928c8711715031ed87aeb5576110,BAIIW0001|TIC289840928|S68|SRC_81040ec9a19cb8f74a284aa41a2aa3294b86928c8711715031ed87aeb5576110,289840928,68,3175.262856,3175.263782,3175.266791,PUBLISHED_QPP_REFERENCE,SAME_SECTOR,F3AE000044,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000044,F3AP0022,BAIIW0001,541,SRC_14d37bf8cf44f8dd5f77f188fe0dbca34c17b4cb73327ef98c9c25cbebfc36e3,BAIIW0001|TIC52153067|S68|SRC_14d37bf8cf44f8dd5f77f188fe0dbca34c17b4cb73327ef98c9c25cbebfc36e3,52153067,68,3175.49004,3175.490734,3175.493975,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_SECTOR,F3AE000043,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000045,F3AP0023,BAIIW0001,2758,SRC_90078c0ff846c4f4fa6201efad8343a3facb1d411e879f438e55c37af1c89295,BAIIW0001|TIC294750180|S30|SRC_90078c0ff846c4f4fa6201efad8343a3facb1d411e879f438e55c37af1c89295,294750180,30,2140.849793,2140.850719,2140.857663,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000046,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000046,F3AP0023,BAIIW0001,2755,SRC_dd891f24e9226941dcc0aca83259d347f12e2e4a0657fe376d5a5eb9369d90f4,BAIIW0001|TIC294750180|S30|SRC_dd891f24e9226941dcc0aca83259d347f12e2e4a0657fe376d5a5eb9369d90f4,294750180,30,2124.459706,2124.461095,2124.467345,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000045,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000047,F3AP0024,BAIIW0001,2821,SRC_8cfea57ecf9c2016427a2c9b99efcc5d555016a13cc5ddfe27ace7b4f86aef63,BAIIW0001|TIC303443210|S63|SRC_8cfea57ecf9c2016427a2c9b99efcc5d555016a13cc5ddfe27ace7b4f86aef63,303443210,63,3014.444384,3014.445078,3014.458504,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000048,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000048,F3AP0024,BAIIW0001,2822,SRC_f92a4526658326aaeb37d0d454eee2853671dbde638c03cb3fc76d3d22b9000e,BAIIW0001|TIC303443210|S63|SRC_f92a4526658326aaeb37d0d454eee2853671dbde638c03cb3fc76d3d22b9000e,303443210,63,3023.343158,3023.343853,3023.358436,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000047,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000049,F3AP0025,BAIIW0001,2823,SRC_379f6655dfeb3ac09cf0e3ff1c0f64369729e1b34e74e6c0b52579bb394bafd1,BAIIW0001|TIC303443210|S64|SRC_379f6655dfeb3ac09cf0e3ff1c0f64369729e1b34e74e6c0b52579bb394bafd1,303443210,64,3051.696196,3051.696428,3051.705687,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000050,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000050,F3AP0025,BAIIW0001,2824,SRC_af7338b38def1c2e3d5051e1d45669b0f2f77144f06179bb6d67248b86505d28,BAIIW0001|TIC303443210|S64|SRC_af7338b38def1c2e3d5051e1d45669b0f2f77144f06179bb6d67248b86505d28,303443210,64,3060.339485,3060.340642,3060.348049,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000049,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000051,F3AP0026,BAIIW0001,2843,SRC_20fcafd66228fcf9c0220909d59e36f2624818d973df1e5422ff0c6024572556,BAIIW0001|TIC306485634|S71|SRC_20fcafd66228fcf9c0220909d59e36f2624818d973df1e5422ff0c6024572556,306485634,71,3252.613374,3252.613837,3252.618004,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000052,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000052,F3AP0026,BAIIW0001,2839,SRC_4ae778a587fad69912634a29276719eef3c0fae29e191826835a0a833d923bd9,BAIIW0001|TIC306485634|S70|SRC_4ae778a587fad69912634a29276719eef3c0fae29e191826835a0a833d923bd9,306485634,70,3209.389742,3209.390436,3209.394372,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000051,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
