payload_id,variant_id,offset,length,time_sha256,flux_sha256,native_index_sha256,logical_payload_sha256,n_samples,first_time_s,last_time_s,time_dtype,flux_dtype,native_index_dtype
F3APAY000044,F3AV000072,1310,34,6bb3f3959cb0c68d8c4340dadbd0090292783822e49bad8a133ce15786f08294,380a8093f9d992e671ee1e76b3b4110ce057ed2fdf38b0f3d6037c44acbdaf83,121c7fa5e1d63cb3a8f40893fa66260cb1262735e96bebfff4b75bdea9da1390,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,34,0.0,660.005456962972,<f8,<f8,<i8
F3APAY000045,F3AV000079,1344,28,5892a7dfc0c8cbde9cc60aaab3443c5975f1e49d630b270d8af2bda9caf1899d,caa147e38d8bc6a253e6d032d861dce719d576c2229f3460ea85d0b0adcdb20a,f0d4ac98788c7e5b0c0297cb90c072d596249603b91aec2d60961236320abef1,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,0.0,540.0079958169954,<f8,<f8,<i8
F3APAY000046,F3AV000080,1372,28,5892a7dfc0c8cbde9cc60aaab3443c5975f1e49d630b270d8af2bda9caf1899d,2574ce8175ee6d1b0a73fd1e29439e5572f485fe4322f158cb2eac08ea4de3f5,f0d4ac98788c7e5b0c0297cb90c072d596249603b91aec2d60961236320abef1,0efee212e6982aa92555e1841b4161ee72ab0053d618383b09b7c9e3bf5ba98f,28,0.0,540.0079958169954,<f8,<f8,<i8
F3APAY000047,F3AV000083,1400,28,5892a7dfc0c8cbde9cc60aaab3443c5975f1e49d630b270d8af2bda9caf1899d,ef6d8debc56288107dbaaef955455fc54b2692d07f02bf35a67c8c22429874ea,f0d4ac98788c7e5b0c0297cb90c072d596249603b91aec2d60961236320abef1,ad59132685ea2649a296b59fcb8a65bf3bc4b2ef14f402d15acb380e6d6919fe,28,0.0,540.0079958169954,<f8,<f8,<i8
F3APAY000048,F3AV000084,1428,28,5892a7dfc0c8cbde9cc60aaab3443c5975f1e49d630b270d8af2bda9caf1899d,4b871450191148991bb8fecbe8e9ebc49d5fded5f235a7b94a67e8d046fa669b,f0d4ac98788c7e5b0c0297cb90c072d596249603b91aec2d60961236320abef1,3a7d8b5506be970f1f5e125693f96d618ee916b3ff87893e334cfbc849792bde,28,0.0,540.0079958169954,<f8,<f8,<i8
F3APAY000049,F3AV000085,1456,30,ae029cda50e982bb19a883cfa3e6f18d3906f5eb39fef89477bbeb548b63f043,bebc0f08ce49af2eb69b41817d5ef8d687c370b972e96ee8d560491e2888f093,68f7dd73defcf61e2bc327644480e9ae2106648e477c2777042b72c8afb7760a,387742e67a3955bb48b44123b5fd35a6e33b42e503d4e9ec829b48f963e5323b,30,0.0,580.00858057203,<f8,<f8,<i8
F3APAY000050,F3AV000086,1486,30,ae029cda50e982bb19a883cfa3e6f18d3906f5eb39fef89477bbeb548b63f043,49eaf60ff6f6147be4bdcb309c90f0e161bebc1174c2ef8242409249ad7c826f,68f7dd73defcf61e2bc327644480e9ae2106648e477c2777042b72c8afb7760a,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,30,0.0,580.00858057203,<f8,<f8,<i8
F3APAY000051,F3AV000089,1516,30,ae029cda50e982bb19a883cfa3e6f18d3906f5eb39fef89477bbeb548b63f043,3ab2b91721886c909f9024bfb24f81480179bb055dccb7fa6654ce5f9fa31ac7,68f7dd73defcf61e2bc327644480e9ae2106648e477c2777042b72c8afb7760a,53d13c3b97db0171f3dc7176c5664fca81a9cd5650657efc6305889700812632,30,0.0,580.00858057203,<f8,<f8,<i8
F3APAY000052,F3AV000090,1546,30,ae029cda50e982bb19a883cfa3e6f18d3906f5eb39fef89477bbeb548b63f043,05f49d9c75c497d8f71ea7513724ec0e6ae063bf00d83b10673bde38040117ea,68f7dd73defcf61e2bc327644480e9ae2106648e477c2777042b72c8afb7760a,17ec90eb3f5117fc770114bf62a8a005c2edc465d15aae6bb09e77497809cc38,30,0.0,580.00858057203,<f8,<f8,<i8
F3APAY000053,F3AV000091,1576,29,0ceeaa2e6220298f6b59e96b3b9129494f09e0a882ad83739258f5ceb6fa26e0,f8b14d7acf7358bea4cdf9b3358b6635ec28e074ded97adb5462ddc50c498a47,af532f6c79dca36b241dadffbc67258834e8f29d5e32344178844d3b0c5378cf,a12d20b2a8ee50ecbc24ddaa3a0127cf8d69ef5b20bb10e3abd23e893980584d,29,0.0,560.0082881748676,<f8,<f8,<i8
F3APAY000054,F3AV000092,1605,29,0ceeaa2e6220298f6b59e96b3b9129494f09e0a882ad83739258f5ceb6fa26e0,65c37b22684f89b7e97164047decd01250e3f7686ab47da096991b330a19ebe4,af532f6c79dca36b241dadffbc67258834e8f29d5e32344178844d3b0c5378cf,ccdc201857be6060679791c522ecb4baf521a2ef5691e7b60c666e0a2630fca6,29,0.0,560.0082881748676,<f8,<f8,<i8
F3APAY000055,F3AV000095,1634,29,0ceeaa2e6220298f6b59e96b3b9129494f09e0a882ad83739258f5ceb6fa26e0,ac0b47f1d153ebf2d2c2ab7d22a9b8ac53d7eb973e098747eb060c52b60c5a05,af532f6c79dca36b241dadffbc67258834e8f29d5e32344178844d3b0c5378cf,67a8d89d42658eaf3d11aa9b4d265b49514a3e5312219327828e4b1b3356b21a,29,0.0,560.0082881748676,<f8,<f8,<i8
F3APAY000056,F3AV000096,1663,29,0ceeaa2e6220298f6b59e96b3b9129494f09e0a882ad83739258f5ceb6fa26e0,9a9446a5a5dc9d01cb31b5b2e811b0ac6bf04746a3887e94a45d6876ec639a4e,af532f6c79dca36b241dadffbc67258834e8f29d5e32344178844d3b0c5378cf,f08bb3253ced655f057f6ae4a3b165a429fb0d30a912e196b4243f16aa600f4f,29,0.0,560.0082881748676,<f8,<f8,<i8
F3APAY000057,F3AV000097,1692,27,8972bac24d05c6e31aadf236bcf4b1750e8d116f7e933b96024aa812bbe678f9,35aaed749e623b6bd37c13ef8a3d8ef8235bca032dc80728495210e78b6cdb70,0c187c5ff6981f5f7106fb8d094e84aa530106d74ece9d524918b34504584c1e,e0f5d4b6333238fcc47bfdc4282c6f6b5f3404433bd9e14f9549671d248d43b4,27,0.0,520.0077033412526,<f8,<f8,<i8
F3APAY000058,F3AV000098,1719,27,8972bac24d05c6e31aadf236bcf4b1750e8d116f7e933b96024aa812bbe678f9,19bcff9c3cce9917a96f08c89e339d8c328059bc7c99988e9b5809819cc9884f,0c187c5ff6981f5f7106fb8d094e84aa530106d74ece9d524918b34504584c1e,0df63eaee066635b2ebe135f114f3ede7665b153944430bda7a035931bb1c000,27,0.0,520.0077033412526,<f8,<f8,<i8
F3APAY000059,F3AV000101,1746,27,8972bac24d05c6e31aadf236bcf4b1750e8d116f7e933b96024aa812bbe678f9,cd8c246fdb7675870d81a1d21c25961dc815bd33e29c16785d675a416b1f269a,0c187c5ff6981f5f7106fb8d094e84aa530106d74ece9d524918b34504584c1e,04ac970b7243eb7998065c96b7c466bae63797f10d63d4d5358fb83cbab02ab8,27,0.0,520.0077033412526,<f8,<f8,<i8
F3APAY000060,F3AV000102,1773,27,8972bac24d05c6e31aadf236bcf4b1750e8d116f7e933b96024aa812bbe678f9,eb67c1ada8df35c8dc4f94a49ac9d1360ee999f3382df140624e5dbd4fc9bd72,0c187c5ff6981f5f7106fb8d094e84aa530106d74ece9d524918b34504584c1e,b8deeb751c8be7665aec21d98c01712d2cd020e8ee79bfe040adc04636b2b2b3,27,0.0,520.0077033412526,<f8,<f8,<i8
F3APAY000061,F3AV000103,1800,26,194c25be52ab08094ab25a77585637925154f5a336f1ba2497552edef3c6a8b5,a3692887f481c349631be062fd00dd0502890764fa2c754022ca3346585e0618,acde4f34f736f11f52a433728023fb59f80dbb42afed517eaf3a7d84bf1e4024,ba1bad6e01e10b78bc5185b70d65cac37c91e9d96a63c854ab4681fd9f7d2ed0,26,0.0,500.0074108655099,<f8,<f8,<i8
F3APAY000062,F3AV000104,1826,26,194c25be52ab08094ab25a77585637925154f5a336f1ba2497552edef3c6a8b5,df091d128baf94176e63672c752a3109b599332c9855fbca3ae69710806a6b71,acde4f34f736f11f52a433728023fb59f80dbb42afed517eaf3a7d84bf1e4024,c5990d8d639cb07fd633fc6c422a630b33e6286e4431e71297550a06e2283fe0,26,0.0,500.0074108655099,<f8,<f8,<i8
