job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status
F3AJ0000045,45,F3ADP000023,PRIMARY,F3AE000001,F3AV000023,F3AC023,WSp1,P04,0,M2,bpow_const,F3APAY000015,e838539aa91b621536c13c4dfc6ea86e5593c8a7426a5e7e9835261420dd7529,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000046,46,F3ADP000024,PRIMARY,F3AE000001,F3AV000024,F3AC024,WSp1,P05,0,M0,pow_const,F3APAY000016,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000047,47,F3ADP000024,PRIMARY,F3AE000001,F3AV000024,F3AC024,WSp1,P05,0,M1,pow_const_gauss,F3APAY000016,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000048,48,F3ADP000024,PRIMARY,F3AE000001,F3AV000024,F3AC024,WSp1,P05,0,M2,bpow_const,F3APAY000016,8037d69113f69b4405459c640bfceaddb98bf4530f8563f10e8e5e161d8ba415,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000049,49,F3ADP000031,PRIMARY,F3AE000001,F3AV000031,F3AC031,WEm2,P00,0,M0,pow_const,F3APAY000017,a19dc7cebe6b14514de88153f769647d51eea0af28b7cc569446e860e3049f41,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000050,50,F3ADP000031,PRIMARY,F3AE000001,F3AV000031,F3AC031,WEm2,P00,0,M1,pow_const_gauss,F3APAY000017,a19dc7cebe6b14514de88153f769647d51eea0af28b7cc569446e860e3049f41,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000051,51,F3ADP000031,PRIMARY,F3AE000001,F3AV000031,F3AC031,WEm2,P00,0,M2,bpow_const,F3APAY000017,a19dc7cebe6b14514de88153f769647d51eea0af28b7cc569446e860e3049f41,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000052,52,F3ADP000032,PRIMARY,F3AE000001,F3AV000032,F3AC032,WEm2,P01,0,M0,pow_const,F3APAY000018,b4c6823baa6759686980223e50526cd2e52b57019d69aee3a443396d14fffe6c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000053,53,F3ADP000032,PRIMARY,F3AE000001,F3AV000032,F3AC032,WEm2,P01,0,M1,pow_const_gauss,F3APAY000018,b4c6823baa6759686980223e50526cd2e52b57019d69aee3a443396d14fffe6c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000054,54,F3ADP000032,PRIMARY,F3AE000001,F3AV000032,F3AC032,WEm2,P01,0,M2,bpow_const,F3APAY000018,b4c6823baa6759686980223e50526cd2e52b57019d69aee3a443396d14fffe6c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
