planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000095,55,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000095,F3AC017,WSm1,P04,0,F3APAY000055,67a8d89d42658eaf3d11aa9b4d265b49514a3e5312219327828e4b1b3356b21a,29,-24.738891762468274,-18.94968951956497,-21.26964517147959,-5.789202242903304,-2.3199556519146185,false,245.15080914409504,formal_m1_center_not_selected,VALID
F3ADP000096,56,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000096,F3AC018,WSm1,P05,0,F3APAY000056,f08bb3253ced655f057f6ae4a3b165a429fb0d30a912e196b4243f16aa600f4f,29,-24.60546415608333,-18.757658385483964,-19.78720969129005,-5.847805770599365,-1.0295513058060877,false,245.68203284445025,formal_m1_center_not_selected,VALID
F3ADP000097,57,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000097,F3AC019,WSp1,P00,0,F3APAY000057,e0f5d4b6333238fcc47bfdc4282c6f6b5f3404433bd9e14f9549671d248d43b4,27,-27.248993571745714,-20.889845006468853,-23.31000566206567,-6.359148565276861,-2.420160655596817,false,223.53452609189011,formal_m1_center_not_selected,VALID
F3ADP000098,58,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000098,F3AC020,WSp1,P01,0,F3APAY000058,0df63eaee066635b2ebe135f114f3ede7665b153944430bda7a035931bb1c000,27,-27.09729976210589,-20.698606419202356,-23.131696013076166,-6.398693342903535,-2.4330895938738095,false,231.3434780564168,formal_m1_center_not_selected,VALID
F3ADP000101,59,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000101,F3AC023,WSp1,P04,0,F3APAY000059,04ac970b7243eb7998065c96b7c466bae63797f10d63d4d5358fb83cbab02ab8,27,-4.099243154152496,2.3172135067785344,-0.13849779727132905,-6.41645666093103,-2.4557113040498635,false,229.09754825904122,formal_m1_center_not_selected,VALID
F3ADP000102,60,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000102,F3AC024,WSp1,P05,0,F3APAY000060,b8deeb751c8be7665aec21d98c01712d2cd020e8ee79bfe040adc04636b2b2b3,27,-3.951761482491203,2.5029500710295824,0.03665230739790992,-6.454711553520785,-2.4662977636316725,false,229.39106895598022,formal_m1_center_not_selected,VALID
F3ADP000103,61,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000103,F3AC025,WSp2,P00,0,F3APAY000061,ba1bad6e01e10b78bc5185b70d65cac37c91e9d96a63c854ab4681fd9f7d2ed0,26,-22.34067163443496,-15.88173085159189,-18.21920905112274,-6.458940782843069,-2.3374781995308496,false,215.50958257004507,formal_m1_center_not_selected,VALID
F3ADP000104,62,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000104,F3AC026,WSp2,P01,0,F3APAY000062,c5990d8d639cb07fd633fc6c422a630b33e6286e4431e71297550a06e2283fe0,26,-22.212568849585804,-15.729799224178986,-18.095785798442904,-6.482769625406817,-2.3659865742639177,false,215.55912780107303,formal_m1_center_not_selected,VALID
F3ADP000107,63,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000107,F3AC029,WSp2,P04,0,F3APAY000063,5d90e04c8867d9f45c3dcee6a9be7f5981e9a6f5f4027c5ffe2181cd66fad373,26,9.985305967871643,16.32350858951812,14.830906757465966,-6.338202621646477,-1.492601832052154,false,223.56340887013496,formal_m1_center_not_selected,VALID
F3ADP000108,64,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000108,F3AC030,WSp2,P05,0,F3APAY000064,6b5cf4430a9eb7a71983818608e468128eac6a8d69835528c16d7a900bf313b2,26,10.202214559616355,16.54882746544796,15.055327377307398,-6.346612905831606,-1.4935000881405625,false,225.3180488471373,formal_m1_center_not_selected,VALID
