canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
66,F3B2D003262,3262,BASELINE,F3BBG_N120_A1_Q004_R058:POS:PRIMARY,F3BBG_N120_A1_Q004_R058,0,27f736bd51196fca8f8d721802ef53ae04c784011b076f41ef9707211748eca7,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
67,F3B2D003343,3343,BASELINE,F3BBG_N120_A2_Q001_R048:NULL:PRIMARY,F3BBG_N120_A2_Q001_R048,0,c019453750439af4b80b9a6c78fea1a07f849452f4e92ccd37ef9ff2fe1d9d39,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
68,F3B2D003344,3344,BASELINE,F3BBG_N120_A2_Q001_R048:POS:PRIMARY,F3BBG_N120_A2_Q001_R048,0,6cb9706cd26717c96d4fb38154bf5237f8eb88ba8b014d548cf717222450c2f4,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
69,F3B2D003445,3445,BASELINE,F3BBG_N120_A2_Q002_R051:NULL:PRIMARY,F3BBG_N120_A2_Q002_R051,0,690fe3e19a6f5250f6fc9555d15c297b4883485485053ad485e6a0c63f8327ce,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
70,F3B2D003446,3446,BASELINE,F3BBG_N120_A2_Q002_R051:POS:PRIMARY,F3BBG_N120_A2_Q002_R051,0,d877a6aef6a905ea3cf8164a499b45ac27a06cc714ce8a103aeba7e5ce16c16a,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
71,F3B2D003539,3539,BASELINE,F3BBG_N120_A2_Q004_R038:NULL:PRIMARY,F3BBG_N120_A2_Q004_R038,0,3a6f02bf49f4f8a1939bfebd2ad047d48b44b7fc3b3ed6e2e2df2ad1f89c7155,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
72,F3B2D003540,3540,BASELINE,F3BBG_N120_A2_Q004_R038:POS:PRIMARY,F3BBG_N120_A2_Q004_R038,0,0f2c0679adb618826a0dab6c38596eaa02ebdcef11d13659d0d112acdcaa8f34,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
73,F3B2D003601,3601,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,1,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
74,F3B2D003609,3609,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,9,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
75,F3B2D003610,3610,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,1,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
76,F3B2D003618,3618,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,9,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
77,F3B2D003619,3619,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,1,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
78,F3B2D003627,3627,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,9,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
79,F3B2D003628,3628,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,1,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
80,F3B2D003636,3636,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,9,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
81,F3B2D003637,3637,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,1,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
82,F3B2D003645,3645,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,9,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
83,F3B2D003646,3646,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,F3BBG_N015_A0_Q004_R054,1,50d36135e27da9eaa81ea5ac93ca0a858abab9a357b947a771a5eed828da35c6,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
