planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,truth_state,external_optimizer_seed,payload_logical_sha256,input_state,gap_quality_regime,planned_model_calls,execution_status
F3B2D000500,500,BASELINE,F3BBG_N015_A1_Q002_R099:POS:PRIMARY,F3BBG_N015_A1_Q002_R099,SYNTHETIC_QPP_PRESENT,0,451dea884325c0c2a55bae7041b08e9f3cb17416bd0c585e7fd98485caa960ae,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000501,501,BASELINE,F3BBG_N015_A1_Q004_R001:NULL:PRIMARY,F3BBG_N015_A1_Q004_R001,SYNTHETIC_QPP_ABSENT,0,325f8d17f65237a36114facc866e17604dbc0a63fad1a4134f83c47439270e88,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000502,502,BASELINE,F3BBG_N015_A1_Q004_R001:POS:PRIMARY,F3BBG_N015_A1_Q004_R001,SYNTHETIC_QPP_PRESENT,0,8a1bf223bea903273f97fe0b4d2d42a4169b6e8b6ed5036ea0212d72ccab1343,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000503,503,BASELINE,F3BBG_N015_A1_Q004_R005:NULL:PRIMARY,F3BBG_N015_A1_Q004_R005,SYNTHETIC_QPP_ABSENT,0,518923d44b60119da749b1667564011109d742864f77b1da317f14bff39a980e,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000504,504,BASELINE,F3BBG_N015_A1_Q004_R005:POS:PRIMARY,F3BBG_N015_A1_Q004_R005,SYNTHETIC_QPP_PRESENT,0,97539da68e3dfeae168c4807142d6fbd3770ee921ade4373fca5d4e0b607bc66,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000505,505,BASELINE,F3BBG_N015_A1_Q004_R006:NULL:PRIMARY,F3BBG_N015_A1_Q004_R006,SYNTHETIC_QPP_ABSENT,0,0beaca445d1d2db15a2fbf2e322b017e28887a781a7b8ac526dca50061a917b5,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000506,506,BASELINE,F3BBG_N015_A1_Q004_R006:POS:PRIMARY,F3BBG_N015_A1_Q004_R006,SYNTHETIC_QPP_PRESENT,0,93b7c0d27d73cc2a05dd087e0c6077a0258594442de2436c89398ff65129f4e6,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000507,507,BASELINE,F3BBG_N015_A1_Q004_R007:NULL:PRIMARY,F3BBG_N015_A1_Q004_R007,SYNTHETIC_QPP_ABSENT,0,0aac6e22e087cd52a2f2087c92ec6f96434ca9178ca6e031bed79820b64a4478,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000508,508,BASELINE,F3BBG_N015_A1_Q004_R007:POS:PRIMARY,F3BBG_N015_A1_Q004_R007,SYNTHETIC_QPP_PRESENT,0,9e6e70b6747b0d8eab9ea5e65e1e0f2ecccfda3792201d330ae80f9edb6bdac0,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000509,509,BASELINE,F3BBG_N015_A1_Q004_R009:NULL:PRIMARY,F3BBG_N015_A1_Q004_R009,SYNTHETIC_QPP_ABSENT,0,e2ba8da0a5773069b5dc202995946608e631051b375b2f2b1e9e1a9829096bb2,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000510,510,BASELINE,F3BBG_N015_A1_Q004_R009:POS:PRIMARY,F3BBG_N015_A1_Q004_R009,SYNTHETIC_QPP_PRESENT,0,bd9924cab5555eede9ed29bef942c596a9392afc529ab58ac36e220565e4bbb6,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000511,511,BASELINE,F3BBG_N015_A1_Q004_R011:NULL:PRIMARY,F3BBG_N015_A1_Q004_R011,SYNTHETIC_QPP_ABSENT,0,4d642954df71f54fc700b795f42a68d4fc29437912dadd2c394536ba692fb1f4,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
