simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,classifier_decision_expected,classifier_decision_present,planned_decision_id,decision_status,qpp_selected,truth_join_status
F3BBG_N015_A0_Q001_R051:POS:PRIMARY,F3BBG_N015_A0_Q001_R051,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0056,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R052:NULL:PRIMARY,F3BBG_N015_A0_Q001_R052,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0057,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R052:POS:PRIMARY,F3BBG_N015_A0_Q001_R052,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0058,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R056:NULL:PRIMARY,F3BBG_N015_A0_Q001_R056,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0059,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R056:POS:PRIMARY,F3BBG_N015_A0_Q001_R056,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0060,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R057:NULL:PRIMARY,F3BBG_N015_A0_Q001_R057,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0061,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R057:POS:PRIMARY,F3BBG_N015_A0_Q001_R057,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0062,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R058:NULL:PRIMARY,F3BBG_N015_A0_Q001_R058,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0063,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R058:POS:PRIMARY,F3BBG_N015_A0_Q001_R058,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0064,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R060:NULL:PRIMARY,F3BBG_N015_A0_Q001_R060,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0065,VALID,False,JOINED_PRIMARY
