replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
60,36,1800,1800,1800,b985f62bdcff4955a212d9e00e409be4cb3a9c90f1ffb95036d7cca9f5a99d3b,147,1653,1799,1,1178,622,1109,691,0.08166666666666667,0.6544444444444445,0.5727777777777778,0.9994444444444445,0.6161111111111112,-0.3833333333333333,0.0005555555555555556,0.3838888888888889,0.38333333333333336,0.5405555555555556,0.6352777777777778,0.09472222222222226
61,36,1800,1800,1800,357c96a895eba8219da89538da5560b2111fcbc7a5011da3dfb510a466c5d056,145,1655,1797,3,1183,617,1111,689,0.08055555555555556,0.6572222222222223,0.5766666666666667,0.9983333333333333,0.6172222222222222,-0.38111111111111107,0.0016666666666666668,0.3827777777777778,0.3811111111111111,0.5394444444444444,0.6372222222222222,0.09777777777777785
62,36,1800,1800,1800,f9a26d202e30cd554cd5b283f4d1c71d68be7d98440284b1d377336066ffd11b,144,1656,1799,1,1159,641,1109,691,0.08,0.6438888888888888,0.5638888888888889,0.9994444444444445,0.6161111111111112,-0.3833333333333333,0.0005555555555555556,0.3838888888888889,0.38333333333333336,0.5397222222222222,0.63,0.09027777777777779
63,36,1800,1800,1800,86ce121e397025e9615ed8fea4e94b1b31e9138eaee0dd7dbb68924e31d3d652,139,1661,1797,3,1161,639,1104,696,0.07722222222222222,0.645,0.5677777777777778,0.9983333333333333,0.6133333333333333,-0.385,0.0016666666666666668,0.38666666666666666,0.385,0.5377777777777778,0.6291666666666667,0.09138888888888885
64,36,1800,1800,1800,85c562637fbf67b2624ba299db6c12188fed7d26dfaa92c21a7342574b0c091d,134,1666,1799,1,1202,598,1095,705,0.07444444444444444,0.6677777777777778,0.5933333333333334,0.9994444444444445,0.6083333333333333,-0.3911111111111112,0.0005555555555555556,0.39166666666666666,0.39111111111111113,0.5369444444444444,0.6380555555555556,0.10111111111111115
65,36,1800,1800,1800,4057cc370f33264f845359eda8ad611466e78cae93a66a0a09fc3271ae9aa325,150,1650,1799,1,1167,633,1098,702,0.08333333333333333,0.6483333333333333,0.565,0.9994444444444445,0.61,-0.3894444444444445,0.0005555555555555556,0.39,0.3894444444444445,0.5413888888888889,0.6291666666666667,0.08777777777777773
66,36,1800,1800,1800,3198bfce3548111896a9b5f649d8d034964a8738998f372a484bd307dfca48fc,148,1652,1800,0,1171,629,1100,700,0.08222222222222222,0.6505555555555556,0.5683333333333334,1.0,0.6111111111111112,-0.38888888888888884,0.0,0.3888888888888889,0.3888888888888889,0.5411111111111111,0.6308333333333334,0.08972222222222226
67,36,1800,1800,1800,cd887e91d12c450a8466cbc4de2ff0539051addf258f90922c7d10645a4051df,135,1665,1800,0,1157,643,1130,670,0.075,0.6427777777777778,0.5677777777777778,1.0,0.6277777777777778,-0.37222222222222223,0.0,0.37222222222222223,0.37222222222222223,0.5375,0.6352777777777778,0.09777777777777785
68,36,1800,1800,1800,272758572a2b50fb79f8558e5b433f8437c3868103359474c55125fa44037bca,151,1649,1799,1,1199,601,1100,700,0.08388888888888889,0.6661111111111111,0.5822222222222222,0.9994444444444445,0.6111111111111112,-0.3883333333333333,0.0005555555555555556,0.3888888888888889,0.38833333333333336,0.5416666666666666,0.6386111111111111,0.0969444444444445
69,36,1800,1800,1800,68695a82d6793a5a5054db62b269681bfab2b2cab2fb620f3ab68326693a2e43,145,1655,1799,1,1160,640,1121,679,0.08055555555555556,0.6444444444444445,0.5638888888888889,0.9994444444444445,0.6227777777777778,-0.3766666666666667,0.0005555555555555556,0.37722222222222224,0.3766666666666667,0.54,0.6336111111111111,0.09361111111111109
70,36,1800,1800,1800,fdf2ff8ce1772bbd507124c37a9751a34c0d8eb4a2e9b3e70559318e29419ffa,137,1663,1798,2,1184,616,1130,670,0.07611111111111112,0.6577777777777778,0.5816666666666667,0.9988888888888889,0.6277777777777778,-0.37111111111111117,0.0011111111111111111,0.37222222222222223,0.3711111111111111,0.5375,0.6427777777777778,0.1052777777777778
