planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0053,53,BASELINE,F3BBG_N015_A0_Q001_R050:NULL:PRIMARY,0,77ee60798d14e1b50b7532ff765583ee9cc5b4a49f8e12e082d49094167cdfbd,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0054,54,BASELINE,F3BBG_N015_A0_Q001_R050:POS:PRIMARY,0,9b85bb6cbe7d29efb4e871d15311a94a50f48a8bdc1a4bd9b1c0d9e4ce55a311,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0055,55,BASELINE,F3BBG_N015_A0_Q001_R051:NULL:PRIMARY,0,bbc826bd513966c3a954896373d4c2825376c4a875a0beb265de6ca5cbae1e17,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0056,56,BASELINE,F3BBG_N015_A0_Q001_R051:POS:PRIMARY,0,0d93545264d05bcb6698d96a4e3a55c710ba3bd0399340a9b3c5f19d67800e5b,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0057,57,BASELINE,F3BBG_N015_A0_Q001_R052:NULL:PRIMARY,0,23120891225dce4a5bd8744c8fc97bf0883fdabbe3d7e06931510dff13249ab2,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0058,58,BASELINE,F3BBG_N015_A0_Q001_R052:POS:PRIMARY,0,1536719c49c7927f949b9d7d92e8eb0e16b5c7d250099fe67af5663f1e4674d4,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0059,59,BASELINE,F3BBG_N015_A0_Q001_R056:NULL:PRIMARY,0,0e6c9804f35aadeee0e147388c296758e9c53cb91fd5b56e1be161ece142879d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0060,60,BASELINE,F3BBG_N015_A0_Q001_R056:POS:PRIMARY,0,34ee14d7efcd1f388231c015f96e1638c75c224ecedf7f9037b865aa61db241c,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0061,61,BASELINE,F3BBG_N015_A0_Q001_R057:NULL:PRIMARY,0,1393b3e599572ddb137ac09e09c5eef030582c7cb9f7e5bc767c7a3ae67425e7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0062,62,BASELINE,F3BBG_N015_A0_Q001_R057:POS:PRIMARY,0,1426ce02e022cae8a0d200f6d5ec11376b9ea7856a5c2b546a1d3b92aa1c10c7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
