job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,source_fits_sha256,candidate_discovery_use,canary_order
F2J001083,1083,F2D000551,primary,F2V000551,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P04,0,M2,bpow_const,16,23048,23064,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,00eebb1b9838098d4fe3337cad02b65265a849c9c1d6f664c9efc79080f5c652,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,45
F2J001084,1084,F2D000552,primary,F2V000552,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P05,0,M0,pow_const,16,23064,23080,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,c78ba960b78e4960b824b87fa91482b0d00eec5b3fbaf136f775f64ec25d6121,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,46
F2J001085,1085,F2D000552,primary,F2V000552,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P05,0,M1,pow_const_gauss,16,23064,23080,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,c78ba960b78e4960b824b87fa91482b0d00eec5b3fbaf136f775f64ec25d6121,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,47
F2J001086,1086,F2D000552,primary,F2V000552,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P05,0,M2,bpow_const,16,23064,23080,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,c78ba960b78e4960b824b87fa91482b0d00eec5b3fbaf136f775f64ec25d6121,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,48
F2J002245,2245,F2D001105,stability,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,1,M0,pow_const,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,49
F2J002246,2246,F2D001105,stability,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,1,M1,pow_const_gauss,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,50
F2J002247,2247,F2D001105,stability,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,1,M2,bpow_const,19,21502,21521,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,51
F2J002272,2272,F2D001114,stability,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,1,M0,pow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,52
F2J002273,2273,F2D001114,stability,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,1,M1,pow_const_gauss,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,53
F2J002274,2274,F2D001114,stability,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,1,M2,bpow_const,19,21521,21540,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,54
F2J002299,2299,F2D001123,stability,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,1,M0,pow_const,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,55
F2J002300,2300,F2D001123,stability,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,1,M1,pow_const_gauss,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,56
F2J002301,2301,F2D001123,stability,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,1,M2,bpow_const,19,21540,21559,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,ffc856e13ef5db3b632bd070087935a8943fd43e898dd236fa676f9961fa29f9,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,57
F2J002326,2326,F2D001132,stability,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,1,M0,pow_const,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,58
F2J002327,2327,F2D001132,stability,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,1,M1,pow_const_gauss,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,59
F2J002328,2328,F2D001132,stability,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,1,M2,bpow_const,19,21559,21578,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,98a61b788eff5d30dcb60b453f8df6aead6861d68191f9005bc70ea3df205c80,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,60
F2J002353,2353,F2D001141,stability,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,1,M0,pow_const,19,21578,21597,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,5b56b32127f48434adc58b6f87d600d00f296c901717c4e87ba913e281faf669,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,61
