parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,transition,n_from,n_to,delta_bic_0_1_from,delta_bic_0_1_to,delta_bic_2_1_from,delta_bic_2_1_to,joint_margin_from,joint_margin_to,paired_change_delta_bic_0_1,paired_change_delta_bic_2_1,paired_change_joint_margin,support_hypothesis_contrast,support_contrast_sign,cross_m0_up,cross_m0_down,cross_m2_up,cross_m2_down,qpp_selected_from,qpp_selected_to,joint_selection_up,joint_selection_down
NWP_A1_S28_P080,NWB_A1_S28,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,28,30_to_45,30,45,-6.729358643348661,-5.208461271446254,-1.6549916071819695,0.8520013710667058,-16.72935864334866,-15.208461271446254,1.5208973719024073,2.5069929782486753,1.5208973719024073,-0.986095606346268,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P080,NWB_A1_S28,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,28,45_to_60,45,60,-5.208461271446254,-4.054431858966183,0.8520013710667058,0.25891919831522614,-15.208461271446254,-14.054431858966183,1.154029412480071,-0.5930821727514797,1.154029412480071,1.7471115852315506,POSITIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P080,NWB_A1_S28,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,28,60_to_90,60,90,-4.054431858966183,-7.159076938164219,0.25891919831522614,-1.0678518442055633,-14.054431858966183,-17.15907693816422,-3.1046450791980362,-1.3267710425207895,-3.1046450791980362,-1.7778740366772467,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P080,NWB_A1_S28,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,28,90_to_120,90,120,-7.159076938164219,-5.383574418690785,-1.0678518442055633,-1.7252817905271627,-17.15907693816422,-15.383574418690785,1.7755025194734344,-0.6574299463215993,1.7755025194734344,2.4329324657950337,POSITIVE,False,False,False,False,False,False,False,False
NWP_A1_S29_NULL,NWB_A1_S29,NULL_FLARE_RED_NOISE,,,1.0,29,15_to_30,15,30,-5.580825354858337,-5.978979538821264,-1.9414915273162867,-0.8122343060140622,-15.580825354858337,-15.978979538821264,-0.39815418396292657,1.1292572213022245,-0.39815418396292657,,,False,False,False,False,False,False,False,False
NWP_A1_S29_NULL,NWB_A1_S29,NULL_FLARE_RED_NOISE,,,1.0,29,30_to_45,30,45,-5.978979538821264,-8.64815237257585,-0.8122343060140622,-2.696338982110916,-15.978979538821264,-18.64815237257585,-2.669172833754587,-1.8841046760968538,-2.669172833754587,,,False,False,False,False,False,False,False,False
NWP_A1_S29_NULL,NWB_A1_S29,NULL_FLARE_RED_NOISE,,,1.0,29,45_to_60,45,60,-8.64815237257585,-8.08318913558307,-2.696338982110916,-2.7684834178169524,-18.64815237257585,-18.08318913558307,0.5649632369927815,-0.07214443570603635,0.5649632369927815,,,False,False,False,False,False,False,False,False
NWP_A1_S29_NULL,NWB_A1_S29,NULL_FLARE_RED_NOISE,,,1.0,29,60_to_90,60,90,-8.08318913558307,0.8320548022255139,-2.7684834178169524,2.09078281735907,-18.08318913558307,-9.167945197774486,8.915243937808583,4.8592662351760225,8.915243937808583,,,False,False,False,False,False,False,False,False
NWP_A1_S29_NULL,NWB_A1_S29,NULL_FLARE_RED_NOISE,,,1.0,29,90_to_120,90,120,0.8320548022255139,-2.926076904482045,2.09078281735907,-0.7572719841057278,-9.167945197774486,-12.926076904482045,-3.758131706707559,-2.848054801464798,-3.758131706707559,,,False,False,False,False,False,False,False,False
NWP_A1_S29_P050,NWB_A1_S29,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,29,15_to_30,15,30,-5.268900252482927,-4.807605318271612,-1.8919138774439057,0.18766629899789677,-15.268900252482927,-14.807605318271612,0.46129493421131507,2.0795801764418025,0.46129493421131507,-1.6182852422304874,NEGATIVE,False,False,False,False,False,False,False,False
